duplicate_group,classification,recommended_action,recommended_keeper_line,csv_line,Title,Base Title,Artist,Album,Duration,Year,Genre,Source Files,Spotify Track ID,Spotify Popularity,Spotify Album,Spotify Release Date,Spotify Match Method,MusicBrainz Verified,Playlists,usefulness_score
NRG_0023,true_duplicate_same_spotify_track,merge_into_recommended_keeper,7365,7366,How Soon Is Now?,How Soon Is Now?,t.A.T.u.,200 KM/H In The Wrong Lane (10th Anniversary Edition),3:15,2006.0,Pop,"drive-download-20260627T091940Z-3-001\O list of songs.xlsx, merged_playlist.csv, YTMusic\1111.csv, YTMusic\11aaz.csv, YTMusic\2stage.csv, YTMusic\cover_songs_nominess.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist (3).csv, YTMusic\liked_music_playlist.csv, YTMusic\new take.csv, YTMusic\pumphouse1.csv, spotify_popularity_results.csv",5eD2anHJSOItcLOGyZ3DT7,0,,,fuzzy,,NRG,15
NRG_0023,true_duplicate_same_spotify_track,merge_into_recommended_keeper,7365,9281,How Soon Is Now (cover),How Soon Is Now (cover),t.A.T.u,,,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",5eD2anHJSOItcLOGyZ3DT7,0,,,fuzzy,,NRG,8
NRG_0024,album_alternate_greatest_hits_present,keep_merge_into_this_row,2536,2536,Hungry Like the Wolf,Hungry Like the Wolf,Duran Duran,Hungry Like the Wolf,3:32,1982.0,New Wave,"music library songs.csv, merged_playlist.csv, YTMusic\bbplay.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0024,album_alternate_greatest_hits_present,merge_into_recommended_keeper,2536,2537,Hungry Like the Wolf (2001 Remaster),Hungry Like the Wolf (2001 Remaster),Duran Duran,Hungry Like the Wolf,3:41,2001.0,Pop,"music library songs.csv, Google Play Music\Playlists\Thumbs Up\Hungry Like the Wolf (2001 Remaster).csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\nrg.csv",,,,,,,NRG,10
NRG_0024,album_alternate_greatest_hits_present,merge_into_recommended_keeper,2536,2538,Hungry Like the Wolf (2009 Remaster),Hungry Like the Wolf (2009 Remaster),Duran Duran,Rio (Collector's Edition),3:41,2009.0,Pop,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0024,album_alternate_greatest_hits_present,merge_into_recommended_keeper,2536,2539,Hungry Like the Wolf (Night Version),Hungry Like the Wolf (Night Version),Duran Duran,The Singles 81-85,5:14,2011.0,New Wave,"music library songs.csv, merged_playlist.csv, YTMusic\bbplay.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,8
NRG_0025,true_duplicate_same_spotify_track,keep_merge_into_this_row,2541,2541,I Don't Want Your Love,I Don't Want Your Love,Duran Duran,Big Thing (Deluxe Edition),3:52,1988.0,Pop,"Book1.csv, spotify_popularity_results.csv",4XlMPyTNmxbVfFfOd85SKz,23,,,exact,Yes,NRG,19
NRG_0025,true_duplicate_same_spotify_track,merge_into_recommended_keeper,2541,2542,I Don't Want Your Love (Shep Pettibone Mix),I Don't Want Your Love (Shep Pettibone Mix),Duran Duran,Greatest,3:49,2010.0,Pop,"merged_playlist.csv, YTMusic\bbplay.csv, spotify_popularity_results.csv",4XlMPyTNmxbVfFfOd85SKz,23,,,exact,Yes,NRG,17
NRG_0026,true_duplicate_same_spotify_track,merge_into_recommended_keeper,2339,2338,It's No Good,It's No Good,Depeche Mode,Ultra (Deluxe),5:59,2009.0,Pop,"music library songs.csv, merged_playlist.csv, YTMusic\1111.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist (3).csv, YTMusic\liked_music_playlist.csv, YTMusic\nrg.csv, YTMusic\pumphouse1.csv, spotify_popularity_results.csv",7HDWE2Ib7cjkhzULV4K8y3,70,,,fuzzy,,NRG,16
NRG_0026,true_duplicate_same_spotify_track,keep_merge_into_this_row,2339,2339,It's No Good (2007 Remaster),It's No Good (2007 Remaster),Depeche Mode,Ultra (2007 Remaster),4:55,2007.0,Pop,"music library songs.csv, spotify_popularity_results.csv",7HDWE2Ib7cjkhzULV4K8y3,70,,,fuzzy,,NRG,16
NRG_0027,true_duplicate_same_spotify_track,keep_merge_into_this_row,5438,5438,Kickstart My Heart,Kickstart My Heart,Mötley Crüe,Dr. Feelgood,4:42,1989.0,Rock,Book1.csv,,,,,,,NRG,13
NRG_0027,true_duplicate_same_spotify_track,merge_into_recommended_keeper,5438,9378,Kickstart My Heart,Kickstart My Heart,Motley Crue,,,,,spotify_popularity_results.csv,4Yqy0GpeDEXLibWJCZyQew,84,,,exact,Yes,NRG,13
NRG_0028,needs_review,keep_merge_into_this_row,2581,2581,Lips Like Sugar,Lips Like Sugar,Echo & The Bunnymen,Echo & the Bunnymen (Bonus Tracks Edition) [2004 Remaster],4:51,1987.0,New Wave,Book1.csv,,,,,,,NRG,10
NRG_0028,needs_review,merge_into_recommended_keeper,2581,2583,Lips Like Sugar,Lips Like Sugar,Echo And The Bunnymen,Echo & The Bunnymen,4:52,1987.0,New Wave,"merged_playlist.csv, YTMusic\11aaz.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0029,album_or_release_alternate,merge_into_recommended_keeper,3916,3915,Locomotive Breath,Locomotive Breath,Jethro Tull,Aqualung (Special Edition) (Playlist: Rbbnd),4:27,2019.0,Bs,"music library songs.csv, YouTube and YouTube Music\playlists\Bs.csv, YouTube and YouTube Music\playlists\Liked videos.csv, YouTube and YouTube Music\playlists\October 27, 2019.csv, YouTube and YouTube Music\playlists\Rbbnd.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0029,album_or_release_alternate,keep_merge_into_this_row,3916,3916,Locomotive Breath (Steven Wilson Stereo Remix),Locomotive Breath (Steven Wilson Stereo Remix),Jethro Tull,Aqualung,4:42,1971.0,Prog-Rock/Art Rock,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0030,true_duplicate_same_spotify_track,keep_merge_into_this_row,7543,7543,Love Shack,Love Shack,The B 52's,Time Capsule,5:21,1989.0,Pop,"Book1.csv, spotify_popularity_results.csv",4W4wYHtsrgDiivRASVOINL,75,,,exact,Yes,NRG,20
NRG_0030,true_duplicate_same_spotify_track,merge_into_recommended_keeper,7543,7546,Love Shack,Love Shack,The B-52's,Cosmic Thing,5:21,1989.0,Pop,"Dropbox (1)\My PC (LAPTOP-FJVTUUIS)\Documents\Songs with a narrow vocal range.docx, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, spotify_popularity_results.csv",4W4wYHtsrgDiivRASVOINL,75,,,exact,Yes,NRG,20
NRG_0031,true_duplicate_same_spotify_track,keep_merge_into_this_row,7742,7742,Name Of The Game,Name Of The Game,The Crystal Method,Tweekend,4:16,2001.0,Rock,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\pumphouse1.csv, spotify_popularity_results.csv",4XKEVz0X1BIDhCAfb782tm,56,,,fuzzy,,NRG,15
NRG_0031,true_duplicate_same_spotify_track,merge_into_recommended_keeper,7742,7743,Name Of The Game (Reprise),Name Of The Game (Reprise),The Crystal Method,Tweekend,4:17,2011.0,Soundtrack,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\nrg.csv, spotify_popularity_results.csv",4XKEVz0X1BIDhCAfb782tm,56,,,fuzzy,,NRG,15
NRG_0032,album_alternate_greatest_hits_present,keep_merge_into_this_row,3694,3694,Need You Tonight,Need You Tonight,INXS,Kick,3:02,1991.0,rock,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0032,album_alternate_greatest_hits_present,merge_into_recommended_keeper,3694,3695,Need You Tonight (Single Edit),Need You Tonight (Single Edit),INXS,The Best of INXS,3:04,1987.0,Pop,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,8
NRG_0033,true_duplicate_same_spotify_track,keep_merge_into_this_row,5870,5870,Ready Steady Go,Ready Steady Go,Paul Oakenfold,Southern Sun / Ready Steady Go,3:25,2002.0,Dance,"Book1.csv, spotify_popularity_results.csv",4hz5itl0tUhW7zrpPLT6YH,52,,,exact,Yes,NRG,19
NRG_0033,true_duplicate_same_spotify_track,merge_into_recommended_keeper,5870,5871,Ready Steady Go (Extended Mix),Ready Steady Go (Extended Mix),Paul Oakenfold,Bunkka,4:15,2002.0,Dance,"Book1.csv, spotify_popularity_results.csv",4hz5itl0tUhW7zrpPLT6YH,52,,,exact,Yes,NRG,19
NRG_0033,true_duplicate_same_spotify_track,merge_into_recommended_keeper,5870,5872,Ready Steady Go (Extended Mix) (feat. Asher D),Ready Steady Go (Extended Mix),Paul Oakenfold,Bunkka,4:16,2002.0,Dance,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\nrg.csv, spotify_popularity_results.csv",4hz5itl0tUhW7zrpPLT6YH,52,,,exact,Yes,NRG,19
NRG_0034,album_alternate_greatest_hits_present,merge_into_recommended_keeper,1227,1222,Rebel Yell,Rebel Yell,Billy Idol,"Rebel Yell (Playlist: July 25, 2019 Random Upbeat)",4:49,2019.0,"July 25, 2019 Random Upbeat","music library songs.csv, YouTube and YouTube Music\playlists\July 25, 2019 Random Upbeat.csv, merged_playlist.csv, YTMusic\11aaz.csv, YTMusic\bbplay.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\rage.csv",,,,,,,NRG,10
NRG_0034,album_alternate_greatest_hits_present,merge_into_recommended_keeper,1227,1223,Rebel Yell (Acoustic Live On KROQ/1993 / Remastered 2001),Rebel Yell (Acoustic Live On KROQ/1993 / Remastered 2001),Billy Idol,Greatest Hits (Cover Nominees),5:36,1993.0,Rock,"music library songs.csv, cover_nominees_youtube_music_playlist_items.csv, processed\cover_nominees_youtube_music_playlist_items.csv, merged_playlist.csv, YTMusic\bbplay.csv, YTMusic\cover_songs_nominess.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,8
NRG_0034,album_alternate_greatest_hits_present,keep_merge_into_this_row,1227,1227,Rebel Yell,Rebel Yell,Billy Idol (This is his original song),Rebel Yell,4:48,1983.0,Rock,"Cover Song List.docx, Cover Song List With Links.html, drive-download-20260627T091940Z-3-001\Copy of Cover Song List.docx",,,,,,,NRG,10
