duplicate_group,classification,recommended_action,recommended_keeper_line,csv_line,Title,Base Title,Artist,Album,Duration,Year,Genre,Source Files,Spotify Track ID,Spotify Popularity,Spotify Album,Spotify Release Date,Spotify Match Method,MusicBrainz Verified,Playlists,usefulness_score
NRG_0005,album_or_release_alternate,keep_merge_into_this_row,7669,7669,Block Rockin' Beats,Block Rockin' Beats,The Chemical Brothers,Dig Your Own Hole,3:24,1997.0,Dance,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0005,album_or_release_alternate,merge_into_recommended_keeper,7669,7670,Block Rockin' Beats (Single Version),Block Rockin' Beats (Single Version),The Chemical Brothers,Block Rockin' Beats,5:01,1997.0,Electronic,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\pumphouse1.csv",,,,,,,NRG,10
NRG_0006,true_duplicate_same_spotify_track,keep_merge_into_this_row,5776,5776,Blue Monday,Blue Monday,Orgy,Candyass,4:27,1998.0,Rock,"Book1.csv, spotify_popularity_results.csv",5267gVdYWrLoz6ClOhlqmE,68,,,exact,Yes,NRG,19
NRG_0006,true_duplicate_same_spotify_track,merge_into_recommended_keeper,5776,5777,Blue Monday (Club 69 dub),Blue Monday (Club 69 dub),Orgy,Blue Monday,8:13,1998.0,Rock,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, spotify_popularity_results.csv",5267gVdYWrLoz6ClOhlqmE,68,,,exact,Yes,NRG,19
NRG_0006,true_duplicate_same_spotify_track,merge_into_recommended_keeper,5776,5778,Blue Monday (Club 69 mix),Blue Monday (Club 69 mix),Orgy,Blue Monday,8:43,1998.0,Rock,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, spotify_popularity_results.csv",5267gVdYWrLoz6ClOhlqmE,68,,,exact,Yes,NRG,19
NRG_0006,true_duplicate_same_spotify_track,merge_into_recommended_keeper,5776,5779,Blue Monday (Optical instrumental mix),Blue Monday (Optical instrumental mix),Orgy,Blue Monday,6:41,1999.0,rock,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, spotify_popularity_results.csv",5267gVdYWrLoz6ClOhlqmE,68,,,exact,Yes,NRG,19
NRG_0007,album_or_release_alternate,keep_merge_into_this_row,8289,8289,The Boys Are Back in Town,The Boys Are Back in Town,Thin Lizzy,BBC Radio One Live in Concert,4:43,1989.0,rock,YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv,,,,,,,NRG,10
NRG_0007,album_or_release_alternate,merge_into_recommended_keeper,8289,8290,The Boys Are Back In Town (Remix),The Boys Are Back In Town (Remix),Thin Lizzy,Jailbreak (Deluxe Edition),4:33,1991.0,Hard Rock,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0008,album_alternate_greatest_hits_present,merge_into_recommended_keeper,4086,4085,Breaking the Law,Breaking the Law,Judas Priest,The Essential Judas Priest,2:34,1980.0,Metal,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, YTMusic\music-uploads\Breaking the Law.mp3",,,,,,,NRG,8
NRG_0008,album_alternate_greatest_hits_present,keep_merge_into_this_row,4086,4086,Breaking the Law (live),Breaking the Law (live),Judas Priest,Metalogy,2:46,1980.0,Metal,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, YTMusic\music-uploads\Breaking the Law (live).mp3",,,,,,,NRG,10
NRG_0009,album_or_release_alternate,keep_merge_into_this_row,8051,8051,Breathe,Breathe,The Prodigy,The Fat of the Land - Expanded Edition,5:36,1990.0,Electronic,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, Google Play Music\Playlists\CareNow_\Tracks\Breathe(1).csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\pumphouse1.csv",,,,,,,NRG,10
NRG_0009,album_or_release_alternate,merge_into_recommended_keeper,8051,8052,Breathe (Edit),Breathe (Edit),The Prodigy,Breathe,4:01,1996.0,Dance,"merged_playlist.csv, YTMusic\11aaz.csv",,,,,,,NRG,10
NRG_0010,true_duplicate_same_spotify_track,keep_merge_into_this_row,1355,1355,Burnin' for You,Burnin' for You,Blue Oyster Cult,Fire of Unknown Origin,4:31,1981.0,Hard Rock,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, spotify_popularity_results.csv",3fkPMWQ6cBNBLuFcPyMS8s,67,,,exact,Yes,NRG,20
NRG_0010,true_duplicate_same_spotify_track,merge_into_recommended_keeper,1355,1372,Burnin' for You,Burnin' for You,Blue Öyster Cult,Fire of Unknown Origin,4:31,1981.0,Hard Rock,Book1.csv,,,,,,,NRG,13
NRG_0011,album_or_release_alternate,keep_merge_into_this_row,7393,7393,Burning Down the House,Burning Down the House,Talking Heads,Speaking in Tongues,4:01,1983.0,Pop,"music library songs.csv, YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\pumphouse1.csv",,,,,,,NRG,10
NRG_0011,album_or_release_alternate,merge_into_recommended_keeper,7393,7394,Burning Down the House (2005 Remaster),Burning Down the House (2005 Remaster),Talking Heads,Speaking in Tongues (Deluxe Version),4:02,2005.0,Rock,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,NRG,10
NRG_0011,album_or_release_alternate,merge_into_recommended_keeper,7393,7395,Burning Down the House (alternate version),Burning Down the House (alternate version),Talking Heads,Speaking in Tongues,5:09,2006.0,Rock,YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv,,,,,,,NRG,10
NRG_0012,album_or_release_alternate,keep_merge_into_this_row,6962,6962,Cherub Rock,Cherub Rock,Smashing Pumpkins,Siamese Dream (Deluxe Edition),4:59,1993.0,Hard Rock,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\rage.csv",,,,,,,NRG,10
NRG_0012,album_or_release_alternate,merge_into_recommended_keeper,6962,8128,Cherub Rock,Cherub Rock,The Smashing Pumpkins,Disconnect,4:18,1996.0,Hard Rock,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, YTMusic\music-uploads\Cherub Rock.mp3",,,,,,,NRG,13
NRG_0013,true_duplicate_same_spotify_track,keep_merge_into_this_row,1215,1215,Dancing With Myself,Dancing With Myself,Billy Idol,Billy Idol,3:21,1980.0,Punk,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, spotify_popularity_results.csv",4kP1Q7kTXz1exaYR6biydH,38,,,fuzzy,Yes,NRG,19
NRG_0013,true_duplicate_same_spotify_track,merge_into_recommended_keeper,1215,1216,Dancing With Myself (EP Version),Dancing With Myself (EP Version),Billy Idol,& Generation X Don't Stop EP,4:55,1980.0,Punk,"merged_playlist.csv, YTMusic\11aaz.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, spotify_popularity_results.csv",4kP1Q7kTXz1exaYR6biydH,38,,,fuzzy,Yes,NRG,19
NRG_0014,album_or_release_alternate,merge_into_recommended_keeper,5585,5584,Down in It,Down in It,Nine Inch Nails,Painful Convictions,4:22,1994.0,electronic,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, merged_playlist.csv, YTMusic\nrg.csv",,,,,,,NRG,10
NRG_0014,album_or_release_alternate,keep_merge_into_this_row,5585,5585,Down in It (Shred),Down in It (Shred),Nine Inch Nails,Head Like a Hole,7:00,1989.0,Alternative,YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv,,,,,,,NRG,10
NRG_0014,album_or_release_alternate,merge_into_recommended_keeper,5585,5586,Down in It (Singe),Down in It (Singe),Nine Inch Nails,Head Like a Hole,7:21,1989.0,Alternative,YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv,,,,,,,NRG,10
NRG_0015,true_duplicate_same_spotify_track,keep_merge_into_this_row,5437,5437,Dr. Feelgood,Dr. Feelgood,Mötley Crüe,Dr. Feelgood,4:49,1989.0,Rock,Book1.csv,,,,,,,NRG,13
NRG_0015,true_duplicate_same_spotify_track,merge_into_recommended_keeper,5437,9390,Dr. Feelgood,Dr. Feelgood,Motley Crue,,,,,spotify_popularity_results.csv,5dnwXK73BDZ0H2L06ZrKcE,74,,,exact,Yes,NRG,12
NRG_0016,true_duplicate_same_spotify_track,merge_into_recommended_keeper,6303,6301,Du hast,Du hast,Rammstein,Sehnsucht,3:55,2000.0,Metal,"music library songs.csv, YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\music-uploads\Du hast.mp3, spotify_popularity_results.csv",6uEvFCaOqXyEidoO8BZbyh,67,,,fuzzy,,NRG,16
NRG_0016,true_duplicate_same_spotify_track,merge_into_recommended_keeper,6303,6302,Du hast (Clawfinger remix),Du hast (Clawfinger remix),Rammstein,5/4 (B-sides),5:23,1997.0,Rock,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, spotify_popularity_results.csv",6uEvFCaOqXyEidoO8BZbyh,67,,,fuzzy,,NRG,16
NRG_0016,true_duplicate_same_spotify_track,keep_merge_into_this_row,6303,6303,Du hast (remix by Jacob Hellner),Du hast (remix by Jacob Hellner),Rammstein,Made in Germany 1995-2011,6:44,1995.0,Rock,"YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, spotify_popularity_results.csv",6uEvFCaOqXyEidoO8BZbyh,67,,,fuzzy,,NRG,16
NRG_0017,true_duplicate_same_spotify_track,keep_merge_into_this_row,7434,7434,Everybody Wants To Rule The World,Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe),3:40,1985.0,Pop,"music library songs.csv, YouTube and YouTube Music/music-uploads/music-uploads-metadata.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, spotify_popularity_results.csv",4RvWPyQ5RL0ao9LPZeSouE,87,,,fuzzy,,NRG,16
