Input Title,Input Artist,Spotify Track ID,Popularity,Match Method
Giant,The The,0pAWc1N5PQdQhkyj73uJut,41,exact
Henry Lee,Nick Cave,3Evrvd8gfljbTUBWV1V5ZK,40,fuzzy
Moan - Trentemoller Dub Remix,Trentemoller,2gm5bQVt7gyoqo8jLlOIse,40,exact
Nothing Good Comes Easy,Felix Cartal,1m66iYSRv0qEQBo0RqyPaw,40,exact
Le long de la riviere tendre,Sebastien Tellier,1EGMQqQb9eDl1virQVVBNF,40,exact
Glosoli,SIGUR ROS,0YTfMKGPhWhjS9wgzWvfaf,40,exact
Smile,Telepopmusik,6pw0Smtd6ydy5oywoqRXjY,40,exact
Motley Crue,Dr. Feelgood,6cijWJzD5x1ycLsDa4ZLvA,39,fuzzy
With or Without You,Scala,3UMfwUYJjjIBtlqnAKwWmP,39,fuzzy
t r a n s p a r e n t s o u l,WILLOW,6PRhbGj1xQg4OZOHHHiZtK,39,exact
Love Can Damage Your Health,Telepopmusik,3RMup43JLNt1c1GJ7yXhfo,39,exact
Live With Me,MASSIVE ATTACK,37S3x8vmSCAzn33Cn3zAf8,38,fuzzy
On We March,Trent Reznor,7pjelKVG4cgbS6mt0DaL60,38,fuzzy
No Ending (Nils Hoffmann Remix),YOTTO,0on4Nj6eERwrMj7wivFewL,38,exact
La Marinada,Bill Laurance,3vYdVVIzRivEU4EGezZIzu,38,exact
Dud,GUM,26Jycq9kTirSDwIYl2VSYd,38,exact
Running To The Sea,Royksopp,3iBvt1v6CbsNL0FMhDOkzk,38,exact
Huraskerten Suriskere,Saska,08GcPopUD2MGQu9HyhPT6J,37,fuzzy
Summer In Paris,CAM,7ADTK1pKEValhoH88Zd5jb,37,fuzzy
Save Your Tears (Remix),The Weeknd,0e5Cykguk6797AaVUjJI92,37,exact
Silent Night,Franz X. Gruber,56bebkBfoARRQs2vanbxbG,37,exact
Sunrain,LTJ BUKEM,7sXgl7ZiWIO6YXZxyQvsry,37,exact
Fragile (Arr. for String Quartet and Vocals),Quatuor Ebene,7xivhHxFbKIN74xCO0s085,36,fuzzy
Heaven (Candlelight Mix),DJ SAMMY,6ZbeoJ5NW0hhmSjjyfsX00,36,exact
To Be Free,Emiliana Torrini,7agd11FJRLTykWynCgm6ow,36,exact
Heroes,RONI SIZE,21DGSRIRQV8KLU1TxKi5OP,36,exact
Music Takes Me Up,Mr. Scruff,7oi9zoBpI6bY5Moev0qxTY,35,exact
Weeping Willow,Sebastien Schuller,7rAikimGpWyTHDqJekb4Fn,35,exact
Bergschrund (feat. Nils Frahm),DJ Shadow,4XAGu6WFwsbGl5zRPmPgkg,34,fuzzy
Have Yourself a Merry Little Christmas (Voice),Mel Torme,0pGdmGx8l6OkT3FGgudLUr,34,exact
Lying Peacefully,Pepe Deluxe,31baRwARxlWvyfcMrRboGq,34,exact
Into Everything,Telepopmusik,6BCXQX53CTZMRXsX2EbUbY,34,exact
Boarding (Doubleseat mix),Hotel Costes,3jimEeTi9QZm0CFzvvJ3pd,33,fuzzy
Solar,Hotel Costes,3EQKZbKQ3nSiudxzCNT0T4,32,fuzzy
Hip Hip Chin Chin (Yaziko Club Mix),Hotel Costes,2HauJH2VhQwybz2BW2O7MY,32,exact
Heaven,Emeli Sande,6jQ2ygUQeOcRTJhD1I3AuT,32,exact
Machine pour les oreilles,Rinocerose,41ucOGig0u4O9ziUDpydtc,32,exact
Only This Moment,Royksopp,4lJa2Zgl6QZsjn4R1hWK9B,32,exact
Eyes on Fire (Zeds Dead Remix Re-Recorded),Kirstine Stubbe Teglbjaerg,4e9qWFLn1f9b3db7sKh16B,31,fuzzy
Young And Foolish,THE STIX,4n99pZQrrYJPZm0ATgF5Qu,31,fuzzy
Love Will Tear Us Apart,Susanna,33z70kPS4Iwxyd1KKpxMQk,31,exact
Wednesday's Child,Emiliana Torrini,46La3hmXqjJtXdSX4cakaj,30,exact
Tears From The Moon (feat. Sinead O'Connor),Conjure One,1eGj2I7TQ5uQU78uu8SBAM,29,fuzzy
Mhm Mhm (Radio Edit),Manuel Riva,3aQK33Qj5LOIZPBxmhEgBS,29,exact
The Girl Who Fell Through The Ice,AIM,4osIEaLiT1q9EsIOF5J0mi,29,exact
Central Reservation - Spiritual Life - Ibadan Edit,Beth Orton,6dgKHNwngP42Iww8HOsSH6,29,exact
Remind Me - Radio Edit,Royksopp,1Y4czhrqEKRWp9ruH9GNAm,29,exact
Smokey Blues,Zedjue,4iJrPvc940uP4BL4pFYym8,29,exact
Lowdown,Incognito,5vHIyZxT9QsdHfhoIxhYV2,28,exact
Altitude feat. Joel Ross & Michael Mayo,Nate Smith,4rxgrQw3vfKGI3oVihrULg,28,exact
Lost Song,Olafur Arnalds,2POa8SaHErP55vDAF8efCr,28,exact
Paris (Radio Edit),Scratch Massive,3ZTptknFErzWJuF5HZ2erH,27,exact
Dead Things,Emiliana Torrini,6FHjp0STUfmZI3P0WW60xe,27,exact
Sun Will Rise,Bonobo,1ijzUpyJbwaNXNpNXKIVbm,26,exact
It Hurts Me So,Jay-Jay Johanson,1BLSuWtTmTTAjqzfXUHlQp,26,exact
Mr. Brownstone,Motley Crue,4rLobwUhyvRq2ih7Elkx9c,25,fuzzy
Mr. Big Stuff,Heavy D,1mebaW0RoNJGgnJ42JuZyp,25,fuzzy
Travel the World,Um,7g6Emhj4bsTzIJs1noeklQ,25,exact
Talking In Your Sleep,AG,3mbI3WHLU2vk34tptcPgkF,24,exact
One Fine Day,JAKATTA,2WurE43E7Bk9tnA6sA0Wgk,24,exact
OG,Joell Ortiz,0ZeiIh8e3p6OanC2LfPVY9,24,exact
Road Of Many Signs,THE HERBALISER,1tfYOqEAbuXZ5lWjZNhLoh,24,exact
"Silent Night, Holy Night",Frank Sinatra,7zqTinlz0qOZlZrDfHGCeA,23,fuzzy
Don't Change,Renee,4IKf2AUkwnjehiLXld1wXR,23,fuzzy
We Need a Little Christmas,Percy Faith,6Djhl4Llds9IyPTTQg9cAa,23,fuzzy
"Run, Run (French 79 Remix Extended Version)",Kid Francescoli,4GzeBoG2KFrksZ6AyUrfG6,23,exact
Nao Falo Portugues (Jazz Rework) feat. Fay Lovsky,Buscemi,13fphjzneAE9LFJqVtnjHd,22,exact
Paradise,Jessica Lowndes,2IL7oIBLHOUOUUN8bzEZKG,22,exact
Hand On Your Heart,JOSE GONZALEZ,7iFgS91zoFRnWWTMTo4bIa,22,exact
Taking Me Home,Nick Prosen,0ltmId0F5ilm269uqi7fKb,22,exact
My Favorite Things,Yo-Yo Ma,5cZQrIte4JSr1ZX5Lu0B7l,22,exact
Hello Everybody,Carmichael,7yzpdOfruphHZcEI0L7E4D,21,fuzzy
Heaven Takes You Home (Moojo Remix),Swedish House Mafia,7uPASo7TiDp1Q7wHlx0a5I,21,exact
The Night Before Christmas Song,Gene Autry,7e2uGyRULGE43zolDDWhU2,21,exact
The Christmas Song (Chestnuts Roasting On an Open Fire),Mel Torme,4j5BSu3jZo3q870WyedmjX,21,exact
Black Baby (DJ-KICKS),Kruder,3coKPAtQt8YoUhgsWeobs2,20,fuzzy
It Came Upon the Midnight Clear,Frank Sinatra,6EL8YOzVXsHvdb6QBaqONL,20,fuzzy
Christmas Is,Percy Faith,7C5WJaeQxoo6LT33znwhcx,20,fuzzy
Pequeno Paria (Roy Dubb ReRadio Mix),Daniel Melingo,2343rRjW2zgJiKJWo8HnMj,20,fuzzy
No one in this world,Neobe,57vY9gH6Kf38dwrzH60N7x,20,exact
Karma Police,AG,5IAtTKC2NufQC0grNJUxFQ,19,exact
White Christmas,Dolly Parton,6v57ZAkzlCSDZZ9dwzqnEt,19,exact
Strange Transmissions - Chillout Remix,Norah Jones,1T4lnJzsfPd5iCWxn5QJQu,18,fuzzy
Motley Crue,White Zombie,0LfisAUzh5xkOk5FWSm95S,18,fuzzy
Little Big Horn,Backini,6VV8ezwHn5Hkp5nQuB97I3,17,exact
Double Face,Deodato,2iMsg6BFhmOvJHoDn4y495,17,exact
Jordans,Saib,6vJ4Z2Hc5Bmm0sdqf9CtTR,17,exact
Get ready,Silent Poets,6xiKrNXghK2TlzHb6RTH5z,17,exact
I'll Look After You,Luno,1wmR3kUYbwmmCr7o5O2JUX,16,exact
Don't Leave Me This Way,BLACK GRASS,563sOJ1w4MMyp4qy82cCSj,16,exact
What Do You Want,Jazzanova,3VZ8Grb89kygOaLWnIVZ9B,16,exact
Holistic,Massane,0VN3PcQVfyMYqEi47ZTA1I,16,exact
O Pedido,Roberta Sa,6YIUl8otRH43cCLCOtAnHe,16,exact
The Only Girl on Earth,Liset Alea,46TSL5BjUjqIsjp1QGWZxJ,15,fuzzy
Carnivale Theme,Jeff Beal,7gQgdQ3c0xYeWhBBOlppbQ,15,fuzzy
The wicked thoughts of you (Pete Phunk afternoon rhodes remix),Tafubar,134zJ2VHvSXo8xJh98DlsZ,15,exact
Chris Isaak (the atmospheric cuts),Chloe Foy,2BpZpDlMDuuRVRdAhWq0TQ,14,fuzzy
Tristesse Globale,Royksopp,6jy0Gz673rtYO1Pl9AKB8Z,14,exact
Beyond the Mirage (Cut Chemist Remix),Terumasa Hino,0spE9zNlYaPsWVxnHcpCEX,14,exact
Wrong Place,The Herbaliser,4zSPe0WQSTbvDdjTJP2TsO,14,exact
Heaven's gonna burn your eyes,Thievery Corporatio,7o8WwtDEFlpw6j5ZAir9Sr,14,exact
The Gaze (시선),Gain,1jGCodTe7zaxRdLANY2sOL,12,fuzzy
Fields of Gold,Nils Landgren,572snEzInHVyucKtYwH2TA,12,exact
All I Want for Christmas (Is My Two Front Teeth),Spike Jones,2WC33CoOU9of3EiVKodxs5,12,exact
Smells Like Teen Spirit,Scala,7cJkNJZhP8LzETE42Wc7CS,11,fuzzy
Radar Love (Hammond Version),Sven Hammond,70eP2NEubNcC6r3A2LqeNQ,11,exact
Toy Soldiers,Aisha Vaughan,3qPDLQQzbGKJbJcxqnyRKQ,11,exact
Volition,Caleb Swift,15JzJiNY0wDJJYcnNOK5bv,11,exact
Let It Snow! Let It Snow! Let It Snow,Frank Sinatra,2SrL6XxbWgCZFYJB7qOatl,11,exact
I Changed My Mind,LYRICS BORN,4OuaVSvgpCxfuXEkaEX486,10,fuzzy
Bright,Stafraenn Hakon,5DYOzLHNOUTWFyBreVhqMy,10,exact
Innovation,Caleb Swift,4k9hZTy91372Y1ZnUwuEOP,10,exact
Jingle Bells,Duke Ellington,6q0RCuS5hg74uSkjdPj6RT,8,exact
Encoded Flow,Dabrye,7hPV39Tt8hhXa7AsdeQQ1F,7,exact
Lavish - Deadbeats Remix,Mark Rae,3cM05XJvTaYLq0Ysj4Hpdk,7,exact
Little Miss Cypher,Pepe Deluxe,7o1PA4rXgmIXAIgFmxl9l5,7,exact
Quero Pensar (A Mulher De Bath),Tom Ze,1gV21NMaHEsirAV59KgPRU,6,exact
If I Ruled the World,Joyzza,5RG78gGAGMK5fjMDHfhRxO,5,fuzzy
Reach Out (feat. Evi Vine),The Eden House,48x2yobWO2DtVdVSbk3Yv9,5,fuzzy
I'll Be Home for Christmas,Tony Bennett,3yUXfOSxBJQaIdc4zWIGPz,5,exact
"Seduisante (feat. The Silk Demise, Bill Litshauer)",The Silk Demise,6CeohKtjlQ3UQiZhT6Wy6e,5,exact
Estupido Rapaz,Tom Ze,34NNyfkCbBL2QzvtXj7aSl,5,exact
Blue Oyster Cult,New Order,4Y58yUDeg78iIxqStaiGBI,4,fuzzy
Charles (Remix),DJs Of Drum,0YyG4ik0sGs8LRx25XViTN,4,exact
Adeste Fideles (O Come All Ye Faithful),Frank Sinatra,1nDmHk0dsQFr5WIBbd5sXA,4,exact
Winter Wonderland,Johnny Mathis,0Pjp766l41s1ivp1dlaNK8,4,exact
Rebel Yell,Katy Goodman,27arRuScQUNgR6Qq0bQXvd,4,exact
Destination: Unknown,AL duMaurier,48TbAfbgawgCzdegY7HLrG,3,exact
Spellbound,RAE,2zQ0xFkuhgz3AtJXtYEs75,3,exact
Lately,AIRBISCUIT,1zwEGtUDSjlYZH9rRUj7iZ,2,fuzzy
When Santa Claus Gets Your Letter,Gene Autry,7ranKCe1PeT0wWVRt6cFbb,2,exact
Around my soul,Nacho Sotomayor,1sCKwV0KTnMeLtbLfGcnQX,2,exact
I Wonder,Nacho Sotomayor,1xQC8sKEmxYMonvupMa3xX,2,exact
Blue Spanish Sky,Blue Oyster Cult,2zhXqYksUXS9FgO7r8t6aw,1,fuzzy
"The Nutcracker, Op. 71, TH 14: Dance of the Sugar Plum Fairy",Arthur Fiedler,3B6UjLwLnWDmY9Q4TPYWeM,1,fuzzy
Dundadeova,dZihan,5aFW67TQdOWfrXIJEBhfXM,1,exact
Tulien tuli,Jaaportit,5v6rJWtduYSEG1JQIXx49X,1,exact
Silver Bells,Johnny Mathis,2BSEBrOuyyI9lBvwWOV6Cj,1,exact
Last Train To Forever,Mau,7pAotLpJQfRPK5fW346egC,0,fuzzy
Immemory,Robin Rimbaud,1S4mvWum5esaKCtryTiKdy,0,fuzzy
Clumsy Feat. Michael Stipe,Stephane Pompougnac,1J2oQWXPLE4a3xnQDn5VDi,0,exact
Flight Facilities Ft. Emma Louise - Two Bodies,Ahmed Redha,,,not_found
This Is Not America (Featuring Juliette Lewis),Hollywood,,,not_found
Soeltaar,Stervhia,,,not_found
Shaut zerk (Demo version),Stervhia,,,not_found
Nit kraet,Stervhia,,,not_found
Eirt des flun,Stervhia,,,not_found
