patch_id,target_file,match_column,match_value,target_column,old_value,new_value,source_patch_file,approval_basis,local_backup_path,local_applied_at
RECORDINGS-SCALAR-20260716-0042,SongDB_v2/recordings.csv,Recording ID,RAF14F6E55826,Covering Artist,𝕭𝖔𝖝𝖔𝖋𝖘𝖈𝖗𝖊𝖆𝖒𝖘.𝗳𝗺,Boxofscreams.fm,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0043,SongDB_v2/recordings.csv,Recording ID,RBA12AEED8474,Album,Erotic Lounge²,Erotic Lounge2,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0044,SongDB_v2/recordings.csv,Recording ID,RCAA1B477EE29,Title,Billy Idol -  Rebel Yell (Live In New York),Billy Idol - Rebel Yell (Live In New York),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0045,SongDB_v2/recordings.csv,Recording ID,RCAA1B477EE29,Canonical Title,Billy Idol -  Rebel Yell (Live In New York),Billy Idol - Rebel Yell (Live In New York),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0046,SongDB_v2/recordings.csv,Recording ID,RDC68338E48D0,Album,freedom bossa～避暑地で聞きたいリゾートボッサ～,freedom bossa~避暑地で聞きたいリゾートボッサ~,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0047,SongDB_v2/recordings.csv,Recording ID,RDF65E7D37A95,Album,SMASH – The Singles 1985 – 2020 (2023 Remaster),SMASH - The Singles 1985 - 2020 (2023 Remaster),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0048,SongDB_v2/recordings.csv,Recording ID,RDF7FFFD0B598,Title,Goody Two Shoes (Chris Huges  Single Version),Goody Two Shoes (Chris Huges Single Version),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0049,SongDB_v2/recordings.csv,Recording ID,RDF7FFFD0B598,Canonical Title,Goody Two Shoes (Chris Huges  Single Version),Goody Two Shoes (Chris Huges Single Version),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0050,SongDB_v2/recordings.csv,Recording ID,RE63BC6749889,Title,TRIONALE    - Roxanne   (Police Cover),TRIONALE - Roxanne (Police Cover),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0051,SongDB_v2/recordings.csv,Recording ID,RE63BC6749889,Canonical Title,TRIONALE    - Roxanne   (Police Cover),TRIONALE - Roxanne (Police Cover),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0052,SongDB_v2/recordings.csv,Recording ID,RE78307439C71,Title,THE WHITE STRIPER  - SEVEN NATION ARMY (DJ BigGrand Edit 2022) #thewinterstriper #remix #editmix,THE WHITE STRIPER - SEVEN NATION ARMY (DJ BigGrand Edit 2022) #thewinterstriper #remix #editmix,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0053,SongDB_v2/recordings.csv,Recording ID,RE78307439C71,Canonical Title,THE WHITE STRIPER  - SEVEN NATION ARMY (DJ BigGrand Edit 2022) #thewinterstriper #remix #editmix,THE WHITE STRIPER - SEVEN NATION ARMY (DJ BigGrand Edit 2022) #thewinterstriper #remix #editmix,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0054,SongDB_v2/recordings.csv,Recording ID,REEF573637155,Title,Billy Idol -  Rebel Yell (Live In New York),Billy Idol - Rebel Yell (Live In New York),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0055,SongDB_v2/recordings.csv,Recording ID,REEF573637155,Canonical Title,Billy Idol -  Rebel Yell (Live In New York),Billy Idol - Rebel Yell (Live In New York),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0056,SongDB_v2/recordings.csv,Recording ID,RFF77C7D62C41,Artist,"Uriel And His Instrumental Piano Pop Hit´s, Vol. 3","Uriel And His Instrumental Piano Pop Hit's, Vol. 3",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
