key,canonical_count,legacy_count,legacy_sample
rebel yell | billy idol,3,3,Rebel Yell / Billy Idol
1901 | birdy,2,2,1901 / Birdy
i only want to be with you | birdy,2,2,I Only Want to Be with You / Birdy
when doves cry | birdy,3,3,When Doves Cry / Birdy
young blood | birdy,2,2,Young Blood / Birdy
all is full of love | bjork,2,2,All Is Full of Love / Bjork
army of me | bjork,3,3,Army Of Me / Bjork
big time sensuality | bjork,2,2,Big Time Sensuality / Bjork
human behaviour | bjork,2,2,Human Behaviour / Bjork
hyperballad | bjork,2,2,Hyperballad / Bjork
hidden place | bjork,2,1,Hidden Place / Björk
joga | bjork,2,1,Joga / Björk
possibly maybe | bjork,2,1,Possibly Maybe / Björk
venus as a boy | bjork,2,1,Venus As A Boy / Björk
beyond time | blank and jones,2,2,Beyond Time (Ambient edit) / Blank & Jones
erase rewind | blank and jones,3,3,Erase / Rewind (feat. Zoe Durrant) / Blank & Jones
call me | blondie,2,2,Call Me / Blondie
heart of glass | blondie,3,3,Heart of Glass / Blondie
remember me | blue boy,2,2,Remember Me / Blue Boy
burnin for you | blue oyster cult,1,3,Burnin' for You / Blue Oyster Cult
godzilla | blue oyster cult,2,2,Godzilla (live) / Blue Oyster Cult
blue spanish sky | blue oyster cult,2,1,Blue Spanish Sky / Blue Öyster Cult
desire | bob moses,2,2,Desire / Bob Moses
save a prayer | bob moses,3,3,Save a Prayer / Bob Moses
tearing me up | bob moses,2,2,Tearing Me Up / Bob Moses
desire | bob moses zhu,2,2,"Desire / Bob Moses, ZHU"
africa | bobby kimball,2,2,Africa / Bobby Kimball
cool change | bobby kimball,2,2,Cool Change / Bobby Kimball
give a little bit | bobby kimball,2,2,Give a Little Bit / Bobby Kimball
hold line | bobby kimball,2,2,Hold the Line / Bobby Kimball
im not in love | bobby kimball,2,2,I'm Not in Love / Bobby Kimball
rosanna | bobby kimball,2,2,Rosanna / Bobby Kimball
whos crying now | bobby kimball,2,2,Who's Crying Now? / Bobby Kimball
bed of roses | bon jovi,2,2,Bed of Roses / Bon Jovi
under my sensi | boozoo bajou,2,2,Under My Sensi / Boozoo Bajou
smokin | boston,2,2,Smokin / Boston
somebody to love | branches,2,2,Somebody to Love / Branches
diary of jane | breaking benjamin,3,3,The Diary of Jane / Breaking Benjamin
if i had a rocket launcher | bruce cockburn,2,2,If I Had A Rocket Launcher / Bruce Cockburn
sweet disposition | budjerah ngaiire and gretta ray,2,2,"Sweet Disposition / Budjerah, Ngaiire & Gretta Ray"
comedown | bush,3,3,Comedown / Bush
everything zen | bush,3,3,Everything Zen / Bush
gonna make you sweat | c c music factory,2,2,Gonna Make You Sweat / C+C Music Factory
needle and damage done | c c grace,2,2,Needle and the Damage Done / C.C. Grace
cola | camelphat,2,2,Cola (Dark Matter Edit) / CamelPhat
if it makes you happy | carla conrad,2,2,If It Makes You Happy / Carla Conrad
landslide | carly lyman,2,2,Landslide / Carly Lyman
landslide | carly lyman and jason lux,2,2,Landslide / Carly Lyman & Jason Lux
say something | carly rose,2,2,Say Something / Carly Rose
dont let me be misunderstood | carmen gomes inc,2,2,Don't Let Me Be Misunderstood / Carmen Gomes Inc.
yellow | caroline pennell,2,2,Yellow / Caroline Pennell
something about you | cary brothers,3,3,Something About You (feat. Laura Jansen) / Cary Brothers
american soviets | cccp,2,2,American-Soviets / CCCP
pumped up kicks | chamberlin,2,2,Pumped Up Kicks / Chamberlin
wherever you will go | charlene soraia,2,2,Wherever You Will Go / Charlene Soraia
i will always love you | chase holfelder,2,2,I Will Always Love You / Chase Holfelder
under pressure | chase holfelder,2,2,Under Pressure / Chase Holfelder
dream police | cheap trick,1,2,Dream Police / Cheap Trick
flame | cheap trick,2,2,The Flame / Cheap Trick
everybody wants to rule world | chlara,2,2,Everybody Wants to Rule the World / Chlara
chris isaak | chloe foy,2,1,Chris Isaak (the atmospheric cuts) / Chloë Foy
killing moon | chloe foy,2,1,The Killing Moon / Chloë Foy
everybody wants to rule world acoustic cover | christopherjamesmus,2,2,Everybody Wants to Rule the World (Tears For Fears) Acoustic Cover / christopherjamesmus
girls just wanna have fun | chromatics,2,2,Girls Just Wanna Have Fun / Chromatics
im on fire | chromatics,4,4,I'm on Fire / Chromatics
dont turn lights on | chromeo,3,3,Don't Turn the Lights On / Chromeo
do i wanna know | chvrches,3,3,Do I Wanna Know? / CHVRCHES
video killed radio star | cityflash,2,2,Video Killed The Radio Star (Extended mix) / Cityflash
letters from sky | civil twilight,2,2,Letters From The Sky / Civil Twilight
electric feel | clavvs,2,2,Electric Feel / CLAVVS
1234 | clementine duo,2,2,1234 / Clementine Duo
dont stop believing | clementine duo,2,2,Don't Stop Believing / Clementine Duo
fields of gold | clementine duo,2,2,Fields of Gold / Clementine Duo
cherry coloured funk | cocteau twins,2,2,Cherry coloured Funk / Cocteau Twins
clocks | coldplay,3,3,Clocks / Coldplay
fix you | coldplay,3,3,Fix You / Coldplay
trouble | coldplay,2,2,Trouble / Coldplay
high and dry | colin and caroline,2,2,High and Dry / Colin & Caroline
down under | colin hay,2,2,Down Under / Colin Hay
run | collective soul,2,2,Run / Collective Soul
si senor | control machete,2,2,Si Senor / Control Machete
im on fire | corey harper,2,2,I'm on Fire / Corey Harper
sunglasses at night | corey hart,2,2,Sunglasses at Night / Corey Hart
mayonaise | corpse bride,3,3,Mayonaise (feat. Mat) / Corpse Bride
needle and damage done | cortez killer,2,2,The Needle and the Damage Done / Cortez the Killer
supermans song | crash test dummies,4,4,Superman's Song / Crash Test Dummies
ballad of peter pumpkinhead | crash test dummies,3,3,The Ballad Of Peter Pumpkinhead (feat. Ellen Reid) / Crash Test Dummies
roads | crawling for carrion,2,2,Roads / Crawling for Carrion
needle and damage done | crazy horse,2,2,The Needle and the Damage Done / Crazy Horse
somewhere only we know | creamy,2,2,somewhere only we know / creamy
careless whisper | creamy and daddys girl,2,2,Careless Whisper / creamy & daddy's girl
somewhere only we know | creamy and untrusted,2,2,Somewhere Only We Know / creamy & untrusted
better be home soon | crowded house,2,2,Better Be Home Soon / Crowded House
dont dream its over | crowded house,2,2,Don't Dream It's Over / Crowded House
kiss me | cyn,3,3,Kiss Me / Cyn
girls just want to have fun | cyndi lauper,2,2,Girls Just Want to Have Fun / Cyndi Lauper
time after time | cyndi lauper,2,2,Time After Time / Cyndi Lauper
time to pretend | cyrene,4,4,Time to Pretend / Cyrene
around world | daft punk,2,2,Around the World / Daft Punk
harder better faster stronger | daft punk,2,2,"Harder, Better, Faster, Stronger / Daft Punk"
revelation | daikirai,2,2,Revelation / Daikirai
smells like teen spirit | daisy gray,2,2,Smells Like Teen Spirit / Daisy Gray
dont stop believin | dan avidan,2,2,Don't Stop Believin / Dan Avidan
dont stop believin | dan avidan and super guitar bros,2,2,Don't Stop Believin / Dan Avidan & Super Guitar Bros
pequeno paria | daniel melingo,2,1,Pequeño Paria (Roy Dubb ReRadio Mix) / Daniel Melingo
bang bang | daniela andrade,2,2,Bang Bang (My Baby Shot Me Down) / Daniela Andrade
crazy | daniela andrade,2,2,Crazy / Daniela Andrade
creep | daniela andrade,2,2,Creep / Daniela Andrade
la vie en rose | daniela andrade,2,2,La Vie en Rose / Daniela Andrade
latch | daniela andrade,2,2,Latch / Daniela Andrade
la femme dargent | dave depper,2,2,La Femme d'argent / Dave Depper
rain song led zeppelin david barrett | david barrett trio,2,2,The Rain Song | Led Zeppelin | David Barrett / David Barrett Trio
tears for fears everybody wants to rule world | davidcurci,2,2,Tears For Fears - Everybody wants to rule the world (Acoustic version) / DavidCurci
yulunga | dead can dance,2,2,Yulunga / Dead Can Dance
you spin me round | dead or alive,2,2,You Spin Me Round / Dead or Alive
be alright | dean lewis,2,2,Be Alright / Dean Lewis
a million miles away | deap vally,2,2,A Million Miles Away / Deap Vally
missing | deeperlove,2,2,Missing / Deeperlove
change | deftones,2,2,Change (In The House Of Flies) / Deftones
euphoria | delerium,2,2,Euphoria (Firefly) / Delerium
blasphemous rumours | depeche mode,2,2,Blasphemous Rumours / Depeche Mode
dangerous | depeche mode,2,2,"Dangerous (7"" version) / Depeche Mode"
dream on | depeche mode,2,2,Dream On / Depeche Mode
enjoy silence | depeche mode,7,7,Enjoy the Silence / Depeche Mode
everything counts | depeche mode,4,4,Everything Counts / Depeche Mode
its no good | depeche mode,2,2,It's No Good / Depeche Mode
never let me down again | depeche mode,2,2,Never Let Me Down Again / Depeche Mode
personal jesus | depeche mode,3,3,Personal Jesus / Depeche Mode
policy of truth | depeche mode,2,2,Policy of Truth / Depeche Mode
another one bites dust | dinner with friends,3,3,Another One Bites the Dust / Dinner with Friends
crazy | dinner with friends,3,3,Crazy / Dinner with Friends
take on me | dinner with friends,2,2,Take On Me (Chill Out) / Dinner with Friends
wanted dead or alive | dinner with friends,2,2,Wanted Dead Or Alive (Acoustic) / Dinner with Friends
we are champions | dinner with friends,2,2,We are the Champions (Chill Out) / Dinner with Friends
days go by | dirty vegas,5,5,Days Go By / Dirty Vegas
counting blue cars | dishwalla,2,2,Counting Blue Cars / Dishwalla
this must be place | dizzy,2,2,This Must Be The Place / Dizzy
six days | dj shadow,3,3,Six Days / DJ Shadow
boys of summer | don henley,2,2,Boys of Summer / Don Henley
you spin me round | dope,2,2,You Spin Me Round (Like a Record) / Dope
motley crue | dr feelgood,2,1,Mötley Crüe / Dr. Feelgood
barely breathing | duncan sheik,2,2,Barely Breathing / Duncan Sheik
come undone | duran duran,4,4,Come Undone / Duran Duran
evil woman | duran duran,2,2,Evil Woman / Duran Duran
girls on film | duran duran,2,2,Girls on Film / Duran Duran
hungry like wolf | duran duran,4,4,Hungry Like the Wolf / Duran Duran
i dont want your love | duran duran,2,2,I Don't Want Your Love / Duran Duran
is there something i should know | duran duran,2,2,Is There Something I Should Know (Monster Mix) / Duran Duran
rio | duran duran,2,2,Rio / Duran Duran
save a prayer | duran duran,3,3,Save A Prayer / Duran Duran
reflex | duran duran,2,2,The Reflex / Duran Duran
wild boys | duran duran,2,3,The Wild Boys / Duran Duran
hotel california | eagles,2,2,Hotel California / Eagles
lips like sugar | echo and bunnymen,1,2,Lips Like Sugar / Echo & The Bunnymen
killing moon | echo and bunnymen,2,2,The Killing Moon / Echo & The Bunnymen
cool kids | echosmith,2,2,Cool Kids / Echosmith
clocks | eddy mcmanus,2,2,Clocks / Eddy McManus
ghost in you | eddy mcmanus,2,2,Ghost in You / Eddy McManus
life in a northern town | eddy mcmanus,2,2,Life in a Northern Town / Eddy McManus
one i love | eddy mcmanus,2,2,The One I Love / Eddy McManus
turning japanese | eddy mcmanus,2,2,Turning Japanese / Eddy McManus
blue | eiffel 65,2,2,Blue (Da Ba Dee) / Eiffel 65
inner light | elderbrook,2,2,Inner Light / Elderbrook
numb | elderbrook,2,2,Numb / Elderbrook
mr blue sky | electric light orchestra,2,2,Mr. Blue Sky / Electric Light Orchestra
big time | electrokingdom,3,3,Big Time (Acoustic Mix) / Electrokingdom
blue monday | electronika,2,2,Blue Monday / Electronika
walking on a dream | elenowen,2,2,Walking on a Dream / Elenowen
when you were young | ella mae bowen,2,2,When You Were Young / Ella Mae Bowen
lights | ellie goulding,2,2,Lights / Ellie Goulding
tessellate | ellie goulding,3,3,Tessellate / Ellie Goulding
your song | ellie goulding,3,3,Your Song / Ellie Goulding
flagpole sitta | elohim and awolnation,2,2,Flagpole Sitta / Elohim & AWOLNATION
dont let sun go down on me | elton john,2,2,Don't Let the Sun Go Down on Me / Elton John
dont go breaking my heart | elton john and kiki dee,2,2,Don't Go Breaking My Heart / Elton John & Kiki Dee
heaven | emeli sande,2,1,Heaven / Emeli Sandé
white rabbit | emiliana torrini,2,2,White Rabbit / Emiliana Torrini
sweet dreams | emily browning,2,2,Sweet Dreams (Are Made of This) / Emily Browning
dead things | emiliana torrini,2,1,Dead Things / Emilíana Torrini
to be free | emiliana torrini,2,1,To Be Free / Emilíana Torrini
wednesdays child | emiliana torrini,2,1,Wednesday's Child / Emilíana Torrini
locomotive breath | emma nobbe,2,2,Locomotive Breath (Live) / Emma Nobbe
royals emmanuelle | emmanuelle,2,2,Royals (Cover) - Emmanuelle / Emmanuelle
royals | emmanuelle and clara benin,2,2,Royals / Emmanuelle & Clara Benin
empty files angel live | empty files,2,2,Empty Files - Angel (Massive Attack Cover) - Live (Bilbao Aste Nagusia 2015) / Empty Files
a little respect | erasure,2,2,A Little Respect / Erasure
into fire | erin mccarley,2,2,Into the Fire / Erin McCarley
here comes rain again | eurythmics,2,2,Here Comes The Rain Again / Eurythmics
sweet dreams | eurythmics,3,3,Sweet Dreams / Eurythmics
angel | euthymia,3,3,Angel / Euthymia
alison | everything but girl,2,2,Alison / Everything But The Girl
missing | everything but girl,3,3,Missing / Everything But The Girl
dont leave | faithless,2,2,Don't Leave / Faithless
sean hayes this must be place | fast atmosphere,2,2,"Sean Hayes - ""This Must Be The Place (Naive Melody) / Fast Atmosphere"
hayling | fc kahuna,4,4,Hayling / FC Kahuna
hayling | fc kahuna hafdis huld,2,2,"Hayling / FC Kahuna, Hafdis Huld"
superman | fearless soul,2,2,Superman (It's Not Easy) / Fearless Soul
hey man nice shot | filter,2,2,Hey Man Nice Shot / Filter
chain | fleetwood mac,2,2,The Chain / Fleetwood Mac
 | fleur,2,1,Шелкопряд / Fleur
crave you | flight facilities,2,2,Crave You (Adventure Club Remix) / Flight Facilities
safe and sound | flora martinez,2,2,Safe and Sound / Flora Martinez
 | flur,2,1,Шелкопряд / Flёur
relax | frankie goes to hollywood,2,2,Relax / Frankie Goes To Hollywood
welcome to pleasuredome | frankie goes to hollywood,3,3,Welcome To The Pleasuredome / Frankie Goes To Hollywood
ready to go | frantic romantic,2,2,Ready to Go / Frantic Romantic
linger | freedom fry,2,2,Linger / Freedom Fry
dont stop believin | freedom orchestra,2,2,DON'T STOP BELIEVIN / freedom orchestra
royals | fresh big mouf and kina grannis,2,2,Royals / Fresh Big Mouf & Kina Grannis
erase rewind | friday night at movies,2,2,Erase/Rewind - (From 'Never Been Kissed') / Friday Night At The Movies
head over heels | gabriella rose,2,2,Head Over Heels / Gabriella Rose
if it makes you happy | gabrielle aplin,2,2,If It Makes You Happy / Gabrielle Aplin
mayonaise smashing pumpkins | gabzito,2,2,Mayonaise - Smashing Pumpkins (acoustic cover) / Gabzito
1 crush | garbage,2,3,#1 Crush / Garbage
only happy when it rains | garbage,1,2,Only Happy When It Rains / Garbage
dream weaver | gary wright,2,2,Dream Weaver / Gary Wright
abcdefu | gayle,3,3,abcdefu / GAYLE
wicked game | gemma hayes,2,2,Wicked Game / Gemma Hayes
desire | gene loves jezebel,3,3,Desire / Gene Loves Jezebel
under milky way | george,2,2,Under the Milky Way / George
dont stop believin | george lamond,2,2,Don't Stop Believin' (Radio Edit) / George Lamond
running up that hill | georgia,2,2,Running Up That Hill / Georgia
trouble | ghetto blaster ltd,2,2,Trouble / Ghetto Blaster Ltd.
wanted dead or alive | giulia grisetti,2,2,Wanted Dead or Alive / Giulia Grisetti
this corrosion | godhead,2,2,This Corrosion / Godhead
dont change | goo goo dolls,2,2,Don't Change / Goo Goo Dolls
million miles away | goo goo dolls,2,2,Million Miles Away / Goo Goo Dolls
