Source,Comparison Key,CSV Line,Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Playlists,Original Data,Energy,BPM,Vibe,Discogs Verified,Spotify Verified,MusicBrainz Verified,iTunes Verified,Legacy D Music Spotify ID,Spotify Track ID,Spotify Popularity,Spotify ISRC,Spotify Album,Spotify Release Date,Spotify Duration (ms),Spotify MusicBrainz ID,Spotify BPM,Spotify Key Full,Spotify Energy Level,Spotify Danceability,Spotify Genre,Spotify LastFM Tags,Spotify Vibe,Alternate Albums,Duplicate Merge Notes,Legacy D Music Verification Notes,Legacy D Music Source Files
staged_only,n w o || ministry ||  || ,9194,N.W.O,N.W.O,Ministry,,,,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",,Title: N.W.O | Artist: Ministry | Source: songtrash_song_inventory.md,,,,,Yes,Yes,,,2D9LxUcR9zWxQtxiHsMA0n,55,,,,,a00c23da-a6d9-4c22-9e1c-06b00bb69226,,,,,,,,,,,
staged_only,old school || urban cone || 18 oct || 3:03,8659,Old School,Old School,Urban Cone,18-Oct,3:03,Pop,2017,,No,,,music library songs.csv; YouTube and YouTube Music/music-library-songs/music-library-songs.csv; D:\Music\Main_Song_Database,,Video ID: -jH-4oYS2h8 | Song Title: Old School | Album Title: 10-18 | Artist Name 1: Urban Cone ; Song URL: https://music.youtube.com/watch?v=-jH-4oYS2h8 | Song Title: Old School | Album Title: 10-18 | Artist Names: Urban Cone,,,,,Yes,,,,,,,,,,,,,,,,,,,,Spotify Verified=Yes,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv"
staged_only,opportunities || pet shop boys ||  || ,9230,Opportunities,Opportunities,Pet Shop Boys,,,Electronic,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",,Title: Opportunities | Artist: Pet Shop Boys | Source: songtrash_song_inventory.md,High,119.5,Intense,,Yes,Yes,,,0apB2QDN7ZrE91yDmw5JsY,41,,,,,334a78cd-505f-483d-9c63-a7da79154bda,119.5,C Minor,High,Danceable,Electronic,,Intense,,,,
staged_only,peaceful night soothing deep sleep music || personal power sleep serenity || peaceful nights || 30 01 00,5921,Peaceful Night Soothing Deep Sleep Music (Calming Healing Music),Peaceful Night Soothing Deep Sleep Music (Calming Healing Music),Personal Power Sleep Serenity,Peaceful Nights,30:01:00,New Age,2022,,No,,,music library songs.csv; merged_playlist.csv; YTMusic\liked_music_playlist (2).csv; YTMusic\liked_music_playlist.csv; D:\Music\Main_Song_Database,,Video ID: zvFxdZ0NJC0 | Song Title: Peaceful Night Soothing Deep Sleep Music (Calming Healing Music) | Album Title: Peaceful Nights | Artist Name 1: Personal Power Sleep Serenity ; Title: Peaceful Night Soothing Deep Sleep Music (Calming Healing Music) | Original Artist Col: Personal Power Sleep Serenity Peaceful Nights | Album Col: nan | Duration: 30:01,,,,,Yes,,,,,,,,,,,,,,,,,,,,Spotify Verified=Yes,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv"
staged_only,planet earth || peder b helland || flying || 31 20 00,5898,Planet Earth,Planet Earth,Peder B. Helland,Flying,31:20:00,New Age,2021,,No,,,music library songs.csv; merged_playlist.csv; YTMusic\liked_music_playlist (2).csv; YTMusic\liked_music_playlist.csv; D:\Music\Main_Song_Database,,Video ID: cRrxIOTAEgc | Song Title: Planet Earth | Album Title: Flying | Artist Name 1: Peder B. Helland ; Title: Planet Earth | Original Artist Col: Peder B. Helland Flying | Album Col: nan | Duration: 31:20,,,,,Yes,,,,,,,,,,,,,,,,,,,,Spotify Verified=Yes,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv"
staged_only,protection || massive attack ||  || ,9181,Protection,Protection,Massive Attack ft. Tracey Thorn,,,,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",,Title: Protection | Artist: Massive Attack ft. Tracey Thorn | Source: songtrash_song_inventory.md,,,,,Yes,Yes,,,1YOiBv0RanS73XCM0j5Guu,12,,,,,14a390c8-c029-48db-bf94-d68e0ece07a1,,,,,,,,,,,
staged_only,pumping up clouds || urban cone || 18 oct || 2:56,8660,Pumping Up Clouds,Pumping Up Clouds,Urban Cone,18-Oct,2:56,Pop,2018,,No,,,music library songs.csv; YouTube and YouTube Music/music-library-songs/music-library-songs.csv; D:\Music\Main_Song_Database,,Video ID: oB_0T4hPrwM | Song Title: Pumping Up Clouds | Album Title: 10-18 | Artist Name 1: Urban Cone ; Song URL: https://music.youtube.com/watch?v=oB_0T4hPrwM | Song Title: Pumping Up Clouds | Album Title: 10-18 | Artist Names: Urban Cone,,,,,Yes,,,,,,,,,,,,,,,,,,,,Spotify Verified=Yes,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv"
staged_only,run || collective soul || live || ,1945,Run (Live),Run (Live),Collective Soul,Live (Playlist: Q),,27-Oct-19,2019,,No,,,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv, YouTube and YouTube Music\playlists\October 27, 2019.csv, YouTube and YouTube Music\playlists\Q.csv, spotify_popularity_results.csv",,"Video ID: dICi9-f8M2s | Song Title: Run (Live) | Album Title: Live | Artist Name 1: Collective Soul ; Song URL: https://music.youtube.com/watch?v=dICi9-f8M2s | Song Title: Run (Live) | Album Title: Live | Artist Names: Collective Soul ; Playlist: October 27, 2019 | Video Id: dICi9-f8M2s | Time Added: 2019-10-28 13:15:46 UTC ; Playlist: Q | Video Id: dICi9-f8M2s | Time Added: 2019-04-27 10:01:52 UTC",High,94,Melancholic,,Yes,Yes,,,3HxX5qcaz2phmsJVPskugD,60,,,,,ef85bbaf-d504-401c-9ff2-ab0f53814ece,94,B Major,High,Not Danceable,Electronic,,Melancholic,,,,
staged_only,shaut zerk || stervhia ||  || ,9641,Shaut zerk (Demo version),Shaut zerk (Demo version),Stervhia,,,,,,No,,,spotify_popularity_results.csv,,Spotify Track ID: | Popularity: | Match Method: not_found | LastFM Tags:,,,,,No,,,,,,,,,,,,,,,,,,,,,
staged_only,shout at devil || motley crue ||  || ,9383,Shout at the Devil,Shout at the Devil,Motley Crue,,,,,,No,,,spotify_popularity_results.csv,,Spotify Track ID: 4VFNyv0nVew5C878WDsPvE | Popularity: 71 | Match Method: exact | LastFM Tags:,,,,,Yes,Yes,,,4VFNyv0nVew5C878WDsPvE,71,,,,,d9e10f7e-1110-4a4e-8e4b-8449bf212526,,,,,,,,,,,
staged_only,smokin || boston ||  || ,9079,Smokin',Smokin',Boston,,,Electronic,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",,Title: Smokin' | Artist: Boston | Source: songtrash_song_inventory.md,High,184.6,Intense,,Yes,Yes,,,5u5qlnyVaewWugJIjzilIc,65,,,,,0d4751f8-c141-47dc-8263-2b28257726f8,184.6,A Minor,High,Not Danceable,Electronic,,Intense,,,,
staged_only,staring at sun || u2 || pop || ,8613,Staring At The Sun,Staring At The Sun,U2,Pop (Playlist: U2),,CareNow_,2019,,No,,,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv, YouTube and YouTube Music\playlists\CareNow_.csv, YouTube and YouTube Music\playlists\October 27, 2019.csv, YouTube and YouTube Music\playlists\U2.csv",,"Video ID: q4Gr8Lf2Bzo | Song Title: Staring At The Sun | Album Title: Pop | Artist Name 1: U2 ; Song URL: https://music.youtube.com/watch?v=q4Gr8Lf2Bzo | Song Title: Staring At The Sun | Album Title: Pop | Artist Names: U2 ; Playlist: CareNow_ | Video Id: q4Gr8Lf2Bzo | Time Added: 2019-04-17 13:57:57 UTC ; Playlist: October 27, 2019 | Video Id: q4Gr8Lf2Bzo | Time Added: 2019-10-28 13:17:25 UTC ; Playlist: U2 | Video Id: q4Gr8Lf2Bzo | Time Added: 2018-04-28 08:37:15 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,
staged_only,sun always shines on tv || a ha ||  || ,9072,The Sun Always Shines on TV,The Sun Always Shines on TV,a-ha,,,Electronic,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",,Title: The Sun Always Shines on TV | Artist: a-ha | Source: songtrash_song_inventory.md,Medium,126.4,Party,,Yes,Yes,,,0HoaLXRp7jJtdQFunUyUGc,71,,,,,9efc9217-d8cc-4f3b-b019-4a53a81e37b0,126.3,A Minor,High,Danceable,Electronic,,Party,,,,
staged_only,thievery corporation mirror conspiracy || thievery corporation || mirror conspiracy || 57 14 00,8272,Thievery Corporation - The Mirror Conspiracy [Full Album Stream],Thievery Corporation - The Mirror Conspiracy [Full Album Stream],Thievery Corporation,Mirror Conspiracy,57:14:00,Electronic,2000,,No,,,merged_playlist.csv; YTMusic\and now forr listen.csv; D:\Music\Main_Song_Database,,Title: Thievery Corporation - The Mirror Conspiracy [Full Album Stream] | Original Artist Col: Thievery Corporation | Album Col: nan | Duration: 57:14,,,,,,,Yes,,,,,,,,,,,,,,,,,,iTunes Verified=Yes,"merged_playlist.csv, YTMusic\and now forr listen.csv"
staged_only,time || peder b helland || time || 39 55 00,5901,Time,Time,Peder B. Helland,Time,39:55:00,,2022,,No,,,music library songs.csv; merged_playlist.csv; YTMusic\liked_music_playlist (2).csv; YTMusic\liked_music_playlist.csv; D:\Music\Main_Song_Database,,Video ID: ep9HT3BoeYM | Song Title: Time | Album Title: Time | Artist Name 1: Peder B. Helland ; Title: Time | Original Artist Col: Peder B. Helland Time | Album Col: nan | Duration: 39:55,,,,,Yes,,,,,,,,,,,,,,,,,,,,Spotify Verified=Yes,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv"
staged_only,ultraviolet || u2 ||  || ,9320,Ultraviolet,Ultraviolet,U2,,,,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",NRG,Title: Ultraviolet | Artist: U2 | Source: songtrash_song_inventory.md,,,,,Yes,Yes,,,1FebUFji4Z4tlORK0AaEOF,1,,,,,21c9e587-7afc-4882-9585-02db2ae2a869,,,,,,,,,,,
staged_only,ultraviolet || u2 ||  || ,9321,Ultraviolet (Light My Way),Ultraviolet (Light My Way),U2,,,,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",NRG,Title: Ultraviolet (Light My Way) | Artist: U2 | Source: songtrash_song_inventory.md,,,,,Yes,Yes,,,1FebUFji4Z4tlORK0AaEOF,1,,,,,21c9e587-7afc-4882-9585-02db2ae2a869,,,,,,,,,,,
staged_only,walking in l a || missing persons ||  || ,9198,Walking in L.A,Walking in L.A,Missing Persons,,,Electronic,,,No,,,"songtrash_song_inventory.md, spotify_popularity_results.csv",,Title: Walking in L.A | Artist: Missing Persons | Source: songtrash_song_inventory.md,High,138.8,Party,,Yes,Yes,,,6LgG7yvuD791JlfCMaioPS,50,,,,,da40f1c2-1dc6-46f3-8dba-5adc8ea55611,138.8,G Minor,High,Danceable,Electronic,,Party,,,,
staged_only,wild side || motley crue ||  || ,9380,Wild Side,Wild Side,Motley Crue,,,,,,No,,,spotify_popularity_results.csv,,Spotify Track ID: 7zVpUAOuXY7pHHSm21jFEq | Popularity: 73 | Match Method: exact | LastFM Tags:,,,,,Yes,Yes,,,7zVpUAOuXY7pHHSm21jFEq,73,,,,,8ed5f066-c625-490c-acb6-d0e9babe9842,,,,,,,,,,,
