Recording ID,Song ID,Main DB CSV Line,Title,Canonical Title,Version,Artist,Original Artist,Covering Artist,Cover Song,Album,Alternate Albums,Release Year,Duration,Duration ms,Genre,Genre Detail,BPM,BPM Source,Key,Key Source,Scale,Time Signature,Tuning,Capo,Guitar Difficulty,Bass Difficulty,Drum Difficulty,Vocal Range,Instrumentation,Main Riff/Hook,Solo,Arrangement Notes,Mood Tags,Event Tags,Situation Tags,Setlist Role,Crowd Energy,Danceability,Vocal Type,Explicit/Lyric Risk,Playlists,Source Files,Spotify Track ID,Legacy Spotify ID,Spotify ISRC,Spotify Popularity,Spotify Verified,Spotify Match Method,Spotify Match Score,MusicBrainz Recording ID,MusicBrainz Verified,Discogs Verified,iTunes Verified,SecondHandSongs Search URL,SecondHandSongs Verified URL,SecondHandSongs Link Status,WhoSampled Search URL,WhoSampled Verified URL,WhoSampled Link Status,Ultimate Guitar Search URL,Ultimate Guitar Official Tab URL,Ultimate Guitar Best Tab URL,Ultimate Guitar Tab Preference,Ultimate Guitar Tab Status,Duplicate Merge Notes,Data Quality Notes
R625320511A66,SB0E69780E6E9,9698,PLAY THAT FUNKY MUSIC,Play That Funky Music,studio/original unless noted,Wild Cherry,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R6362791F591D,SBEA0D88D2E04,3038,Marea (we've lost dancing),Marea (we've lost dancing),live,Fred again.. & The Blessed Madonna Actual Life (April 14 - December 17 2020),,,No,Live at Glastonbury 2023: Other Stage,,2020.0,4:46,,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\pumphouse1.csv",,,,,,,,,Yes,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Marea+%28we%27ve+lost+dancing%29+Fred+again..+%26+The+Blessed+Madonna+Actual+Life+%28April+14+-+December+17+2020%29,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Marea+%28we%27ve+lost+dancing%29+Fred+again..+%26+The+Blessed+Madonna+Actual+Life+%28April+14+-+December+17+2020%29,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Marea+%28we%27ve+lost+dancing%29+Fred+again..+%26+The+Blessed+Madonna+Actual+Life+%28April+14+-+December+17+2020%29,,,official_tab_then_most_popular,search_link_generated,,
R7600565AE17F,SB6DFD0F35507,9694,MY SHARONA,My Sharona,studio/original unless noted,The Knack,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R7712B649AF0B,S1BF3F9692397,9695,NEW YORK GROOVE,New York Groove,studio/original unless noted,Ace Frehley,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R79647468ACB0,S8507C23F650E,568,A Thousand Miles - Vanessa Carlton (acoustic),A Thousand Miles - Vanessa Carlton (acoustic),acoustic,Ant Je,,,No,Be Not Nobody,,2002.0,3:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+A+Thousand+Miles+-+Vanessa+Carlton+%28acoustic%29+Ant+Je,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+A+Thousand+Miles+-+Vanessa+Carlton+%28acoustic%29+Ant+Je,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=A+Thousand+Miles+-+Vanessa+Carlton+%28acoustic%29+Ant+Je,,,official_tab_then_most_popular,search_link_generated,,
R7CF4113089FB,S52558BB457CA,9700,RIDE CAPTAIN RIDE,Ride Captain Ride,studio/original unless noted,Blues Image,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R816AF6C09817,S6ED56FDD0B8A,9667,Clumsy Feat. Michael Stipe,Clumsy Feat. Michael Stipe,studio/original unless noted,Stephane Pompougnac,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spotify_popularity_results.csv,1J2oQWXPLE4a3xnQDn5VDi,,,0,Yes,exact,1,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Clumsy+Feat.+Michael+Stipe+Stephane+Pompougnac,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Clumsy+Feat.+Michael+Stipe+Stephane+Pompougnac,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Clumsy+Feat.+Michael+Stipe+Stephane+Pompougnac,,,official_tab_then_most_popular,search_link_generated,,
R81743C8E46FE,S9C870DCB103F,9668,Flight Facilities Ft. Emma Louise - Two Bodies,Flight Facilities Ft. Emma Louise - Two Bodies,studio/original unless noted,Ahmed Redha,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spotify_popularity_results.csv,,,,,No,not_found,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Flight+Facilities+Ft.+Emma+Louise+-+Two+Bodies+Ahmed+Redha,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Flight+Facilities+Ft.+Emma+Louise+-+Two+Bodies+Ahmed+Redha,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Flight+Facilities+Ft.+Emma+Louise+-+Two+Bodies+Ahmed+Redha,,,official_tab_then_most_popular,search_link_generated,,
R850482D08F96,S6DC974C6A779,9702,THE NIGHT CHICAGO DIED,The Night Chicago Died,studio/original unless noted,Paper Lace,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R862B0EE02C08,S5B0D4D1174AC,6784,Phil Collins - In The Air Tonight (Panski & John Skyfield Remix),Phil Collins - In The Air Tonight (Panski & John Skyfield Remix),remix,Sharapov,,,No,Face Value (Deluxe Editon),,1981.0,6:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\forgarageb.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Phil+Collins+-+In+The+Air+Tonight+%28Panski+%26+John+Skyfield+Remix%29+Sharapov,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Phil+Collins+-+In+The+Air+Tonight+%28Panski+%26+John+Skyfield+Remix%29+Sharapov,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Phil+Collins+-+In+The+Air+Tonight+%28Panski+%26+John+Skyfield+Remix%29+Sharapov,,,official_tab_then_most_popular,search_link_generated,,
R9A348860AD3D,S2AB41057B93B,9021,California Love (feat. Dr. Dre Roger Troutman),California Love,studio/original unless noted,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YTMusic\music-uploads\California Love (feat. Dr. Dre _ Roger Troutman).mp3,,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+California+Love+%28feat.+Dr.+Dre+Roger+Troutman%29,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+California+Love+%28feat.+Dr.+Dre+Roger+Troutman%29,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=California+Love+%28feat.+Dr.+Dre+Roger+Troutman%29,,,official_tab_then_most_popular,search_link_generated,,
R9AAB3AB230F6,SC6D30C1CEE1C,9689,LOVE IS THE DRUG,Love Is The Drug,studio/original unless noted,Roxy Music,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
RA773D16F4B04,SC487037AF5E8,9687,KUNG FU FIGHTING,Kung Fu Fighting,studio/original unless noted,Carl Douglas,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
RA89330F16552,SC7EE9DCB7DC7,767,Moloko - The Time is Now,Moloko - The Time is Now,studio/original unless noted,Augustus11,,,No,Things to Make and Do,,2000.0,5:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Moloko+-+The+Time+is+Now+Augustus11,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Moloko+-+The+Time+is+Now+Augustus11,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Moloko+-+The+Time+is+Now+Augustus11,,,official_tab_then_most_popular,search_link_generated,,
RA8B1F48F1815,SFE094E3E71D8,9682,FUNKYTOWN,Funkytown,studio/original unless noted,Lipps Inc.,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
RB2F301762660,S21C6A030891E,9691,MIDNIGHT RIDER,Midnight Rider,studio/original unless noted,Gregg Allman,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
RB3A064EA5B1D,S966EFD8FF43D,3567,Eden (Official Video),Eden (Official Video),studio/original unless noted,Hooverphonic,,,No,Blue Wonder Power Milk,,1998.0,3:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Eden+%28Official+Video%29+Hooverphonic,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Eden+%28Official+Video%29+Hooverphonic,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Eden+%28Official+Video%29+Hooverphonic,,,official_tab_then_most_popular,search_link_generated,,
RB47932A3B4D9,SAF373046FDAE,9693,MONTEGO BAY,Montego Bay,studio/original unless noted,Bobby Bloom,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
RBE8C7F71DE74,S970F1E562ADE,9679,DANCING IN THE MOONLIGHT,Dancing In The Moonlight,studio/original unless noted,King Harvest,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
RC450FCDA3C58,S5620F7B35135,9677,CAT'S IN THE CRADLE,Cat'S In The Cradle,studio/original unless noted,Harry Chapin,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
RCB09B7283A2F,S7141C2326D99,9692,MISSISSIPPI QUEEN,Mississippi Queen,studio/original unless noted,Mountain,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
RD4B9807DDF8F,SCCB32E5C24A3,9703,THE NIGHT THE LIGHTS WENT OUT IN GEORGIA,The Night The Lights Went Out In Georgia,studio/original unless noted,Vicki Lawrence,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
