Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Original Data,Energy,BPM,Vibe,Discogs Verified,Spotify Verified,MusicBrainz Verified,iTunes Verified,Spotify ID,Playlists,Spotify Input Title,Spotify Input Artist,Spotify Matched Title,Spotify Matched Artist,Spotify Artist Changed,Spotify Artist Similarity,Spotify Popularity,Spotify Track ID,Spotify Match Method,Spotify Match Score,Spotify Search Strategy,Spotify ISRC,Spotify Album,Spotify Release Date,Spotify Duration (ms),Spotify MusicBrainz ID,Spotify MBID Method,Spotify BPM,Spotify Key,Spotify Scale,Spotify Key Full,Spotify Energy Level,Spotify Danceability,Spotify Vocal Type,Spotify Mood Happy,Spotify Mood Sad,Spotify Mood Aggressive,Spotify Mood Relaxed,Spotify Mood Party,Spotify Genre,Spotify Genre Detail,Spotify LastFM Tags,Spotify Vibe,Spotify AB Source,Alternate Albums,Duplicate Merge Notes
Flight Facilities Ft. Emma Louise - Two Bodies,Flight Facilities Ft. Emma Louise - Two Bodies,Ahmed Redha,,,,,,No,,,spotify_popularity_results.csv,Spotify Track ID:  | Popularity:  | Match Method: not_found | LastFM Tags: ,,,,,No,,,,,Flight Facilities Ft. Emma Louise - Two Bodies,Ahmed Redha,,,,,,,not_found,,none,,,,,,none,,,,,,,,,,,,,,,,,,,
Flight Facilities Ft. Emma Louise - Two Bodies (feat. Emma Louise - Two Bodies),Flight Facilities,Ahmed Redha Dark Side of the Moon,Down to Earth,3:19,Electronic,2014.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Flight Facilities Ft. Emma Louise - Two Bodies (feat. Emma Louise - Two Bodies) | Original Artist Col: Ahmed Redha Dark Side of the Moon | Album Col: nan | Duration: 3:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marea (we've lost dancing),Marea (we've lost dancing),Fred again.. & The Blessed Madonna Actual Life (April 14 - December 17 2020),Live at Glastonbury 2023: Other Stage,4:46,Electronic,2020.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\pumphouse1.csv",Title: Marea (we've lost dancing) | Original Artist Col: Fred again.. & The Blessed Madonna Actual Life (April 14 - December 17 2020) | Album Col: nan | Duration: 4:46,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massive Attack - Paradise Circus,Massive Attack - Paradise Circus,shinemyshoes,Heligoland,5:15,,2010.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Massive Attack - Paradise Circus | Original Artist Col: shinemyshoes | Album Col: nan | Duration: 5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazzy Star - Fade Into You (Live),Mazzy Star - Fade Into You (Live),Alt Vault Alt Vault - Alternative Rock Live - Volume 10,So Tonight That I Might See,4:23,Pop,1993.0,,No,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",Title: Mazzy Star - Fade Into You (Live) | Original Artist Col: Alt Vault Alt Vault - Alternative Rock Live - Volume 10 | Album Col: nan | Duration: 4:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moloko - The Time is Now,Moloko - The Time is Now,Augustus11,Things to Make and Do,5:10,,2000.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Moloko - The Time is Now | Original Artist Col: Augustus11 | Album Col: nan | Duration: 5:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monophonics - Bang Bang,Monophonics - Bang Bang,AnnaR21,In Your Brain,3:37,,2012.0,,No,,,"merged_playlist.csv, YTMusic\1theshow.csv",Title: Monophonics - Bang Bang | Original Artist Col: AnnaR21 | Album Col: nan | Duration: 3:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morning Child - Radio Edit,Morning Child - Radio Edit,4 Hero,Don't You Worry Child (feat. John Martin) - EP,3:32,"Trip-Hop ""
40 Winks",2012.0,,No,,,"trip hop songhs long lis2t.txt, drive-download-20260627T091940Z-3-001\TRIP-HOP SONGS GOOD LIST.doc.docx, drive-download-20260627T091940Z-3-001\triphopsonghslonglist.txt.html","4 Hero"", ""Morning Child - Radio Edit"", ""Trip-Hop ""
40 Winks"""", ""Melancholia (Bonus)"", """"Trip-Hop ; 4hero,Morning Child - Radio Edit | 1 ; 4 Hero"",""Morning Child - Radio Edit",,,,Yes,,,,,,Morning Child - Radio Edit,4 Hero,Morning Routine - Radio Edit,CoComelon,YES,0.2667,8,51BqZ28RHNx34IoG4lRfmO,fuzzy,0.5913,title_only,,,,,,none,,,,,,,,,,,,,,,,,,,
Phil Collins - In The Air Tonight (Panski & John Skyfield Remix),Phil Collins - In The Air Tonight (Panski & John Skyfield Remix),Sharapov,Face Value (Deluxe Editon),6:35,,1981.0,,No,,,"merged_playlist.csv, YTMusic\forgarageb.csv",Title: Phil Collins - In The Air Tonight (Panski & John Skyfield Remix) | Original Artist Col: Sharapov | Album Col: nan | Duration: 6:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Jam (Video Edit),Summer Jam (Video Edit),R.I.O. feat. U-Jean,Turn This Club Around (Limited Edition),3:03,Dance,2011.0,,No,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Video ID: qon61bLXCpY | Song Title: Summer Jam (Video Edit) | Album Title: Turn This Club Around (Limited Edition) | Artist Name 1: R.I.O. feat. U-Jean ; Title: Summer Jam (Video Edit) | Original Artist Col: R.I.O. feat. U-Jean Turn This Club Around (Limited Edition) | Album Col: nan | Duration: 3:03,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
